Hotel_Name,Hotel_Address,Additional_Number_of_Scoring,Average_Score,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Review_Total_Positive_Word_Counts,lat,lng
H tel Th r se,5 7 Rue Th r se 1st arr 75001 Paris France,91,9,1475,509,2828,48.8816306,2.2992146
Best Western Premier Trocadero La Tour,5 bis rue Massenet 16th arr 75016 Paris France,38,8,749,216,1020,48.8583127,2.2795075
Holiday Inn London Whitechapel,5 Cavell Street Tower Hamlets London E1 2BP United Kingdom,275,8.5,5804,1131,6070,51.5154006,-0.0572364
Washington Mayfair Hotel,5 Curzon St Westminster Borough London W1J 5HL United Kingdom,431,7.9,13768,1532,9517,51.5060237,-0.151078
Radisson Blu Edwardian New Providence Wharf,5 Fairmont Avenue Canary Wharf Tower Hamlets London E14 9JB United Kingdom,620,9,18705,1974,22416,51.5065578,-0.004514
Hilton London Tower Bridge,5 More London Place Tooley Street Southwark London SE1 2BY United Kingdom,484,8.7,15808,1705,11639,51.504575,-0.082675
Novotel London Wembley,5 Olympic Way Wembley Brent London HA9 0NP United Kingdom,832,8.9,18149,2924,19975,51.5611271,-0.2787261
Le Relais M dicis,5 place de l Od on 6th arr 75006 Paris France,14,8.3,718,149,700,48.8497618,2.3392336
Les Jardins De La Villa Spa,5 Rue Belidor 17th arr 75017 Paris France,50,8.8,1316,622,2382,48.8801757,2.2859534
Warwick Paris Former Warwick Champs Elysees ,5 rue de Berri 8th arr 75008 Paris France,329,8.1,6222,1813,4825,48.8722019,2.3030866
Park Hyatt Paris Vendome,5 rue de la Paix 2nd arr 75002 Paris France,25,8.9,327,124,446,48.8688155,2.3305236
My Home In Paris,5 Rue De Malte 11th arr 75011 Paris France,31,9.1,1518,338,2198,48.8636049,2.3688352
Mercure Paris Op ra Faubourg Montmartre,5 Rue de Montyon 9th arr 75009 Paris France,19,7.5,761,223,377,48.8729639,2.3444899
Best Western Plus Elys e Secret,5 rue de Ponthieu 8th arr 75008 Paris France,63,7.7,2205,646,1863,48.8701247,2.311141
Villa Beaumarchais,5 rue des Arquebusiers 3rd arr 75003 Paris France,149,8.1,5524,1442,6300,48.8589516,2.3670407
H tel Mansart Esprit de France,5 rue des Capucines 1st arr 75001 Paris France,73,8.6,1415,611,2106,48.8684776,2.3298238
Holiday Inn Paris Gare de l Est,5 rue du 8 Mai 1945 10th arr 75010 Paris France,710,7.9,21555,6511,16907,48.8758981,2.3590504
Le Cinq Codet,5 rue Louis Codet 7th arr 75007 Paris France,160,9,4879,1055,5037,48.8547869,2.3084819
La Maison Favart,5 Rue Marivaux 2nd arr 75002 Paris France,76,9.2,1200,489,3198,48.870808,2.3372737
Le Pradey,5 Rue Saint Roch 1st arr 75001 Paris France,32,8.8,903,267,1411,48.8645309,2.3315532
Threadneedles Autograph Collection,5 Threadneedle Street City of London London EC2R 8AY United Kingdom,132,8.8,2821,390,3362,51.5140208,-0.0854919
Sanderson A Morgans Hotel,50 Berners Street Westminster Borough London W1T 3NG United Kingdom,260,9,5025,886,5775,51.5174853,-0.1372109
The Arch London,50 Great Cumberland Place Westminster Borough London W1H 7FD United Kingdom,133,9.1,1702,521,3712,51.5159214,-0.1598794
Commodore Hotel,50 Lancaster Gate Westminster Borough London W2 3NA United Kingdom,417,6.7,31316,2400,12451,51.5124496,-0.1795215
Golden Tulip Washington Opera,50 rue de Richelieu 1st arr 75001 Paris France,62,8.3,1506,542,1460,48.866242,2.3373169
Residence Henri IV,50 rue des Bernardins 5th arr 75005 Paris France,67,9.1,2009,454,4935,48.8481917,2.3490316
Hotel du Collectionneur Arc de Triomphe,51 57 rue de Courcelles 8th arr 75008 Paris France,272,8.1,5791,1652,4784,48.8769204,2.3069132
The Westbourne Hyde Park,51 Gloucester Terrace Westminster Borough London W2 3DQ United Kingdom,126,8.9,4453,716,5411,51.5131074,-0.1778707
Hotel Le Mareuil,51 Rue de Malte 11th arr 75011 Paris France,21,8.9,409,153,1446,48.8659899,2.3674149
Mercure Paris Champs Elys es,51 Rue Lauriston 16th arr 75016 Paris France,14,7.2,969,182,512,48.8699731,2.2909401
Best Western Le 18 Paris,51 rue Letort 18th arr 75018 Paris France,40,7.6,1776,527,1479,48.8966167,2.3434843
The Lodge Hotel Putney,52 54 Upper Richmond Road Wandsworth London SW15 2RN United Kingdom,144,8.2,6650,525,4961,51.4572991,-0.2055425
Shaftesbury Hyde Park International,52 56 Inverness Terrace Westminster Borough London W2 3LB United Kingdom,545,8,20690,2907,17734,51.5123968,-0.186124
The Montcalm At Brewery London City,52 Chiswell Street City of London London EC1Y 4SD United Kingdom,704,8.8,26391,2617,25691,51.5208155,-0.0915319
H tel Powers,52 rue Francois 1er 8th arr 75008 Paris France,149,8.5,3174,956,3890,48.8691409,2.3031503
Villa Lut ce Port Royal,52 rue Jenner 13th arr 75013 Paris France,20,7,1528,374,509,48.8364204,2.3603332
Oceania Paris Porte De Versailles,52 Rue Oradour sur Glane 15th arr 75015 Paris France,171,8.2,5438,2541,4653,48.8303023,2.2842872
BEST WESTERN Maitrise Hotel Maida Vale,53 59 Kilburn High Road Maida Vale London Camden London NW6 5SB United Kingdom,364,7.1,25699,1877,10629,51.5366053,-0.1919832
Novotel London City South,53 61 Southwark Bridge Road Southwark London SE1 9HH United Kingdom,233,8.7,5228,917,4771,51.5054832,-0.0951196
The Dorchester Dorchester Collection,53 Park Lane Westminster Borough London W1K 1QA United Kingdom,173,9.1,2806,545,3164,51.5074007,-0.1524593
Mercure Paris Bastille Marais,53 Rue Richard Lenoir 11th arr 75011 Paris France,25,8.1,775,299,647,48.8571207,2.3805581
Hilton London Angel Islington,53 Upper Street Islington London N1 0UY United Kingdom,429,8.6,8386,1462,10096,51.5360906,-0.1048176
Fifty Four Boutique Hotel,54 Queens Gate Kensington and Chelsea London SW7 5JW United Kingdom,161,8.2,5649,684,5203,51.4963008,-0.1796853
Chateau Frontenac,54 rue Pierre Charron 8th arr 75008 Paris France,189,8.5,2150,858,2467,48.8689468,2.3026559
H tel Du Jeu De Paume,54 Rue Saint Louis En L Ile 4th arr 75004 Paris France,61,8.7,1599,312,2788,48.8520377,2.3557092
The Sumner Hotel,54 Upper Berkeley Street Westminster Borough London W1H 7QR United Kingdom,130,8.5,4381,762,5171,51.5152892,-0.160898
W12 Rooms,54 Uxbridge Road Shepherds Bush Hammersmith and Fulham London W12 8LP United Kingdom,201,8.7,6522,900,8476,51.5045326,-0.2191174
Renaissance Paris Le Parc Trocadero Hotel,55 57 Avenue Raymond Poincare 16th arr 75016 Paris France,10,8.1,370,94,464,48.8673099,2.2856528
Shaftesbury Premier London Paddington,55 61 Westbourne Terrace Westminster Borough London W2 3UY United Kingdom,791,7.3,39003,3609,18691,51.5153672,-0.1783271
Hotel Carlton s Montmartre,55 Bld Rochechouart 9th arr 75009 Paris France,37,7.8,1822,559,1480,48.8819068,2.3410005
Hotel Monge,55 rue Monge 5th arr 75005 Paris France,66,9.4,954,386,3200,48.8447938,2.3524462
Mimi s Hotel Soho,56 57 Frith Street Westminster Borough London W1D 3JG United Kingdom,125,8.3,11007,687,8376,51.5140329,-0.1320651
Victoires Opera,56 rue de Montorgueil 2nd arr 75002 Paris France,32,7.5,845,273,459,48.8648997,2.3469433
Holiday Inn London Oxford Circus,57 59 Welbeck Street Westminster Borough London W1G 9BL United Kingdom,241,7.5,8803,1287,5469,51.516843,-0.1495574
Dorsett Shepherds Bush,58 Shepherds Bush Green Hammersmith and Fulham London W12 8QE United Kingdom,690,8.6,26178,2890,24705,51.5039399,-0.2244232
New Linden Hotel,59 Leinster Square Kensington and Chelsea London W2 4PS United Kingdom,337,7.6,20661,2820,14776,51.5133832,-0.1926617
Le Burgundy Paris,6 8 Rue Duphot 1st arr 75001 Paris France,109,9.1,2597,683,2782,48.8680055,2.3260075
Hotel Sezz Paris,6 Avenue Fr miet 16th arr 75016 Paris France,14,8.4,254,132,357,48.8566336,2.2852607
Hotel Montaigne,6 Avenue Montaigne 8th arr 75008 Paris France,68,8.1,2206,431,1359,48.865467,2.3038811
Hotel Royal Elys es,6 Avenue Victor Hugo 16th arr 75116 Paris France,36,7,509,251,469,48.8729666,2.2926226
Mercure Paris Bercy Biblioth que,6 Boulevard Vincent Auriol 13th arr 75013 Paris France,81,8.4,2058,1082,2319,48.8370334,2.372322
Hazlitt s,6 Frith Street Soho Westminster Borough London W1D 3JA United Kingdom,126,9,3232,465,4926,51.5143447,-0.1318157
Park Plaza London Waterloo,6 Hercules Road Lambeth London SE1 7DP United Kingdom,323,8.8,14023,1489,11800,51.4982412,-0.1134715
citizenM London Shoreditch,6 Holywell Lane Hackney London EC2A 3ET United Kingdom,500,9.1,12100,2113,18118,51.5241373,-0.0786983
H tel Balzac,6 rue Balzac 8th arr 75008 Paris France,117,8.3,2566,694,2234,48.8732785,2.3004174
Victoria Palace Hotel,6 Rue Blaise Desgoffe 6th arr 75006 Paris France,14,8.3,464,100,293,48.8457587,2.3243071
Hotel Eug ne en Ville,6 rue Buffault 9th arr 75009 Paris France,114,8.3,4794,1093,4053,48.8750119,2.3416769
Newhotel Roblin,6 rue Chauveau Lagarde 8th arr 75008 Paris France,133,8.8,4570,1327,5433,48.8714152,2.3239679
Le Relais Montmartre,6 Rue Constance 18th arr 75018 Paris France,90,9.3,1818,744,4454,48.8854538,2.3335809
Amarante Beau Manoir,6 Rue de l Arcade 8th arr 75008 Paris France,74,7.2,3907,759,2359,48.870994,2.3235329
Hotel Maison FL,6 Rue De La Tour 16th arr 75016 Paris France,74,8.7,1325,417,1845,48.8396395,2.2663056
Balmoral Champs Elys es,6 rue du General Lanrezac 17th arr 75017 Paris France,74,8.7,1075,476,2548,48.8759855,2.293938
The Chess Hotel,6 rue du Helder 9th arr 75009 Paris France,99,8.7,3621,1005,4518,48.8716017,2.3349768
AC Hotel Paris Porte Maillot by Marriott,6 rue Gustave Charpentier 17th arr 75017 Paris France,59,8.5,899,403,1405,48.8820046,2.2818538
B Montmartre,6 Rue Lecluse 17th arr 75017 Paris France,46,9.2,623,332,2123,48.883631,2.3257643
H tel Regent s Garden,6 Rue Pierre Demours 17th arr 75017 Paris France,57,9.1,961,552,1777,48.8797513,2.2919634
Mercure Paris 15 Porte de Versailles,6 Rue Saint Lambert 15th arr 75015 Paris France,15,8,419,221,445,48.8382542,2.2903494
Hotel Le Placide Saint Germain Des Pr s,6 Rue Saint Placide 6th arr 75006 Paris France,10,8.4,509,123,899,48.8498439,2.3244253
Hotel VIU Milan,6 Via Aristotile Fioravanti Garibaldi Station 20154 Milan Italy,30,8.9,1342,219,1351,45.488764,9.183057
Sofitel London St James,6 Waterloo Place Westminster Borough London SW1Y 4AN United Kingdom,240,9.2,4977,1284,6673,51.5076044,-0.132266
Baglioni Hotel London The Leading Hotels of the World,60 Hyde Park gate Kensington and Chelsea London SW7 5BB United Kingdom,72,9,2011,290,2232,51.5017224,-0.1846243
DoubleTree by Hilton London Islington,60 Pentonville Road Islington London N1 9LA United Kingdom,685,8.6,13842,2277,14489,51.5322508,-0.1095714
Nell Hotel Suites,60 rue Richer 9th arr 75009 Paris France,22,8.8,440,165,682,48.8741002,2.3426357
Rydges Kensington Hotel,61 Gloucester Road Kensington and Chelsea London SW7 4PE United Kingdom,205,8.1,10468,1057,8479,51.4956883,-0.1827878
Club Quarters Hotel Lincoln s Inn Fields,61 Lincoln s Inn Fields Camden London WC2A 3JW United Kingdom,681,8.9,13378,2692,22257,51.5160988,-0.1181749
Novotel Paris Centre Tour Eiffel,61 Quai De Grenelle 15th arr 75015 Paris France,342,7.6,11179,2310,7745,48.8500283,2.2834126
Best Western Plus 61 Paris Nation Hotel,61 rue de la Voute 12th arr 75012 Paris France,48,7.7,1559,795,1621,48.8465653,2.4102405
Hotel Monsieur,62 Rue Des Mathurins 8th arr 75008 Paris France,77,9,2625,817,4369,48.8735135,2.3217457
Hotel Saint Dominique,62 Rue Saint Dominique 7th arr 75007 Paris France,60,8.7,1678,516,2947,48.8599998,2.3087425
Clayton Hotel Chiswick,626 Chiswick High St Chiswick London W4 5RY United Kingdom,562,8.5,18384,1944,15363,51.4924184,-0.2784701
Park Plaza London Park Royal,628 Western Avenue London W3 0TA United Kingdom,131,8.9,5004,425,4236,51.527262,-0.282992
Hotel Malte Astotel,63 rue de Richelieu 2nd arr 75002 Paris France,9,8.9,331,121,517,48.8672474,2.33738
Best Western Palm Hotel,64 76 Hendon Way London NW2 2NL United Kingdom,471,7.9,22020,2037,14840,51.5634756,-0.2042758
InterContinental Paris Avenue Marceau,64 Avenue Marceau 8th arr 75008 Paris France,33,7.9,660,183,580,48.8706373,2.2982095
Mercure Tour Eiffel Grenelle,64 Boulevard de Grenelle 15th arr 75015 Paris France,18,8.3,750,153,808,48.850448,2.2928845
Mercure Paris Bastille Saint Antoine,64 Rue Crozatier 12th arr 75012 Paris France,9,7.9,426,168,298,48.849574,2.3798518
Boutique H tel Konfidentiel,64 Rue de l Arbre Sec 1st arr 75001 Paris France,6,8.9,346,86,346,48.8612535,2.3426256
The Piccadilly London West End,65 73 Shaftesbury Avenue Westminster Borough London W1D 6EX United Kingdom,531,9,13152,2298,23102,51.5121957,-0.1318384
R Kipling by Happyculture,65 rue Blanche 9th arr 75009 Paris France,27,8.3,1600,389,1718,48.8820838,2.3315849
Hotel Des Saints Peres Esprit de France,65 rue des Saints P res 6th arr 75006 Paris France,63,8.8,1424,560,1814,48.8534026,2.3299043
Best Western Hotel Montmartre Sacr Coeur,66 Boulevard Barb s 18th arr 75018 Paris France,116,7.2,6733,1201,4847,48.888539,2.3498459
Kingsway Hall Hotel,66 Great Queen Street Covent Garden Camden London WC2B 5BX United Kingdom,377,8.5,12240,1363,10038,51.5158643,-0.1200625
Mandarin Oriental Hyde Park London,66 Knightsbridge Westminster Borough London SW1X 7LA United Kingdom,47,8.5,1558,217,1163,51.5022081,-0.1599428
H tel Jos phine by Happyculture,67 rue Blanche 9th arr 75009 Paris France,33,8.1,1480,395,1740,48.8823141,2.3316688
Radisson Blu Edwardian Vanderbilt,68 86 Cromwell Road Kensington Kensington and Chelsea London SW7 5BT United Kingdom,514,8.2,26672,2665,21711,51.4953691,-0.1818966
Hotel Le Chat Noir,68 Boulevard De Clichy 18th arr 75018 Paris France,58,8.2,2385,705,2633,48.8836255,2.3340538
Hotel Cafe Royal,68 Regent Street West End Mayfair Westminster Borough London W1B 4DY United Kingdom,211,9.3,5216,1128,6147,51.5100916,-0.1359431
Mercure Vaugirard Paris Porte De Versailles,69 Boulevard Victor 15th arr 75015 Paris France,63,8.5,1989,843,1939,48.8330649,2.2879617
Grange Rochester Hotel,69 Vincent Square Westminster Borough London SW1P 2PA United Kingdom,198,8.2,7358,1046,5526,51.4942654,-0.1366026
Gainsborough Hotel,7 11 Queensberry Place Kensington and Chelsea London SW7 2DL United Kingdom,234,6.9,25438,1884,11116,51.4948416,-0.1772056
H tel Bel Ami,7 11 Rue Saint Benoit 6th arr 75006 Paris France,88,8.6,1846,525,1689,48.8550298,2.3332104
St James Hotel Club Mayfair,7 8 Park Place Westminster Borough London SW1A 1LP United Kingdom,92,8.7,2945,363,2058,51.5061587,-0.1402803
Apex London Wall Hotel,7 9 Copthall Avenue City of London London EC2R 7NJ United Kingdom,256,9.1,5468,949,9561,51.5160484,-0.0880181
Seraphine Kensington Gardens Hotel,7 9 High Street Kensington Kensington and Chelsea London W8 5NP United Kingdom,98,7.4,7885,597,4650,51.5021027,-0.187901
Hotel de Nell,7 9 rue du Conservatoire 9th arr 75009 Paris France,41,9,1046,280,1693,48.8732788,2.3466576
9Hotel Republique,7 9 Rue Pierre Chausson 10th arr 75010 Paris France,100,8.8,3102,857,3539,48.8708419,2.3605864
Goralska R sidences H tel Paris Bastille,7 Boulevard Bourdon 4th arr 75004 Paris France,17,9.4,388,107,936,48.8482842,2.3657251
Club Quarters Hotel Gracechurch,7 Gracechurch Street City of London London EC3V 0DR United Kingdom,764,8.2,17779,2996,19263,51.5127964,-0.0847973
Grange Blooms Hotel,7 Montague Street Bloomsbury Camden London WC1B 5BP United Kingdom,90,8.3,3901,393,3330,51.5196913,-0.1254243
DoubleTree by Hilton Hotel London Tower of London,7 Pepys Street City of London London EC3N 4AF United Kingdom,1936,8.7,57308,7491,50061,51.5108412,-0.0780581
H tel Baume,7 rue Casimir Delavigne 6th arr 75006 Paris France,44,9,2498,253,4148,48.8501522,2.3392782
Hotel West End,7 rue Cl ment Marot 8th arr 75008 Paris France,79,8.8,1671,452,3134,48.8671391,2.3038447
Arioso,7 rue d Argenson 8th arr 75008 Paris France,31,8.4,651,218,698,48.8746066,2.3167195
H tel Lancaster Paris Champs Elys es,7 rue de Berri 8th arr 75008 Paris France,66,8.8,1160,254,1497,48.8723438,2.3033378
Melia Paris Notre Dame,7 Rue De L h tel Colbert 5th arr 75005 Paris France,32,8.7,1200,214,1133,48.8515198,2.3486511
Hotel Mademoiselle,7 Rue des Petits H tels 10th arr 75010 Paris France,125,8.6,3123,853,4377,48.8772493,2.3543043
Hotel Les Bains Paris,7 Rue Du Bourg L abb 3rd arr 75003 Paris France,36,8.9,377,153,661,48.863828,2.3519345
Hotel Ares Eiffel,7 rue du G n ral de Larminat 15th arr 75015 Paris France,103,8.8,3005,667,4630,48.8503276,2.2982022
Francois 1er,7 Rue Magellan 8th arr 75008 Paris France,79,8.7,1626,603,1943,48.8701887,2.2997281
H tel Montmartre Mon Amour,7 Rue Paul Albert 18th arr 75018 Paris France,42,8.1,1131,494,1309,48.886687,2.3449332
Hotel Monceau Wagram,7 Rue Rennequin 17th arr 75017 Paris France,55,7.9,2657,772,2322,48.8808779,2.2989756
Novotel London Excel,7 Western Gateway Royal Victoria Dock Newham London E16 1AA United Kingdom,359,8.5,10195,1158,8759,51.5077198,0.0229805
Paris Marriott Champs Elysees Hotel,70 avenue des Champs Elysees 8th arr 75008 Paris France,86,7.9,1603,372,944,48.8711365,2.3050482
Mercure London Bridge,71 79 Southwark Street Southwark London SE1 0JA United Kingdom,237,8.5,7531,947,7004,51.5052587,-0.099176
H tel Exquis by Elegancia,71 Rue de Charonne 11th arr 75011 Paris France,58,8.9,2252,920,3642,48.8536854,2.3805796
Grange Wellington Hotel,71 Vincent Square Westminster Borough London SW1P 2PA United Kingdom,256,8.8,7481,1268,7523,51.4944319,-0.1363756
Les Jardins Du Marais,74 rue Amelot 11th arr 75011 Paris France,81,8.1,4507,838,3275,48.8605219,2.3680239
Hotel Cavendish,75 Gower Street Camden London WC1E 6HJ United Kingdom,369,6.4,25710,2275,12149,51.5220522,-0.132414
Park Grand London Hyde Park,78 82 Westbourne Terrace Westminster Borough London W2 6QA United Kingdom,441,7.5,19625,1891,13074,51.5157316,-0.1802179
Shaftesbury Metropolis London Hyde Park,78 84 Sussex Gardens Westminster Borough London W2 1UH United Kingdom,636,7.7,22603,2867,16258,51.5166887,-0.1706147
Radisson Blu Champs Elys es Paris,78 Bis Avenue Marceau 8th arr 75008 Paris France,97,7.4,2207,576,1634,48.8719212,2.2971404
Hotel Eiffel Blomet,78 Rue Blomet 15th arr 75015 Paris France,6,9.4,117,79,574,48.8416787,2.3022862
Holiday Inn Paris Gare Montparnasse,79 81 avenue du Maine 14th arr 75014 Paris France,201,7.5,6622,3228,4237,48.8382916,2.3230188
H tel Thoumieux,79 rue Saint Dominique 7th arr 75007 Paris France,32,8.9,508,127,1447,48.8595985,2.3088076
The Exhibitionist Hotel,8 10 Queensberry Place Kensington and Chelsea London SW7 2EA United Kingdom,388,8.4,17174,1708,15473,51.4947754,-0.177789
Auteuil Tour Eiffel,8 10 Rue F licien David 16th arr 75016 Paris France,134,7.5,4059,1266,3319,48.8506499,2.2750873
Ten Manchester Street Hotel,8 12 Manchester Street Westminster Borough London W1U 4DG United Kingdom,140,8.8,3278,478,3777,51.5188,-0.153839
Mercure London Hyde Park,8 14 Talbot Sq Paddington Westminster Borough London W2 1TS United Kingdom,102,8.6,4639,527,4981,51.5151149,-0.1743857
London Bridge Hotel,8 18 London Bridge St Southwark London SE1 9SG United Kingdom,97,8.7,2338,311,2315,51.5052188,-0.088166
Derby Alma,8 Avenue Rapp 7th arr 75007 Paris France,74,8.9,1946,509,3221,48.8605031,2.3006606
The Beaumont Hotel,8 Balderton Street Brown Hart Gardens Westminster Borough London W1K 6TF United Kingdom,88,9.4,1229,334,2180,51.513055,-0.152257
Mercure Paris Gobelins Place d Italie,8 bis Avenue de la Soeur Rosalie 13th arr 75013 Paris France,16,7.6,288,199,318,48.8321231,2.3536172
H tel Original Paris,8 Boulevard Beaumarchais 11th arr 75011 Paris France,18,8.9,330,148,741,48.8546989,2.3691899
The Grand at Trafalgar Square,8 Northumberland Avenue Westminster Borough London WC2N 5BY United Kingdom,409,8.3,12731,1592,10451,51.506935,-0.126012
